NCAPD2,G2/M
ANLN,G2/M
TACC3,G2/M
RFC2,S
RAD51,S
HMMR,G2/M
MCM2,S
TIPIN,S
GTSE1,G2/M
MCM6,S
UNG,S
POLD3,S
NDC80,G2/M
AURKB,G2/M
TPX2,G2/M
CDC45,S
CDC6,S
CBX5,G2/M
MSH2,S
MCM5,S
RANGAP1,G2/M
POLA1,S
CTCF,G2/M
MCM4,S
RAD51AP1,S
GMNN,S
TTK,G2/M
SMC4,G2/M
ECT2,G2/M
CENPA,G2/M
CDC20,G2/M
NEK2,G2/M
CENPF,G2/M
RPA2,S
CASP8AP2,S
HELLS,S
TMPO,G2/M
CKS2,G2/M
DLGAP5,G2/M
GINS2,S
TOP2A,G2/M
PCNA,S
NASP,S
CKAP2,G2/M
NUSAP1,G2/M
KIF23,G2/M
KIF11,G2/M
KIF20B,G2/M
CENPE,G2/M
KIF2C,G2/M
DTL,S
LBR,G2/M
MKI67,G2/M
ATAD2,S
CCNB1,G2/M
CHAF1B,S
USP1,S
HMGB2,G2/M
RRM1,S
FEN1,S
BUB1,G2/M
CDK1,G2/M
RRM2,S
CKS1B,G2/M
EXO1,S
UBE2U,G2/M
CKAP5,G2/M
CCNE2,S
TYMS,S
TUBB4B,G2/M
HN1,G2/M
BLM,S
PRIM1,S
UHRF1,S
